Reporting Area,MMWR Year,MMWR Week,Salmonella Paratyphi infection Current week,Salmonella Paratyphi infection Previous 52 weeks,Salmonella Paratyphi infection 2021,Salmonella Paratyphi infection 2020,Salmonella Typhi infection Current week,Salmonella Typhi infection Previous 52 weeks,Salmonella Typhi infection 2021,Salmonella Typhi infection 2020,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Current week,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Previous 52 weeks,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2021,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2020,Location 1,Location 2,Reporting Area Sort,Geocode Latitude,Geocode Longitude
NEW YORK CITY,2021,3,,1,,,,2,1,3,10,42,26,55,,NEW YORK CITY,20210312,,
ARKANSAS,2021,3,,1,,,,1,,,5,22,16,11,ARKANSAS,,20210344,-92.439162,34.899825
MISSISSIPPI,2021,3,,0,,,,0,,,,0,,,MISSISSIPPI,,20210341,-89.65344,32.713378
SOUTH DAKOTA,2021,3,,0,,,,0,,,,2,,7,SOUTH DAKOTA,,20210327,-100.230491,44.43614
WYOMING,2021,3,,0,,,,0,,,1,9,3,,WYOMING,,20210356,-107.55145,42.999627
MISSOURI,2021,3,,0,,,,1,,,,36,,26,MISSOURI,,20210324,-92.477244,38.3675
MIDDLE ATLANTIC,2021,3,,2,,,,3,1,5,15,128,52,142,,MIDDLE ATLANTIC,20210309,,
CALIFORNIA,2021,3,,0,,,,2,,3,5,53,24,5,CALIFORNIA,,20210359,-119.662127,37.211164
WEST VIRGINIA,2021,3,,0,,,,0,,,,14,,4,WEST VIRGINIA,,20210337,-80.613729,38.642579
FLORIDA,2021,3,,1,,,,1,,,,388,,204,FLORIDA,,20210331,-82.420978,28.260731
MONTANA,2021,3,,0,,,,0,,,,27,,6,MONTANA,,20210352,-109.645127,47.033521
WEST NORTH CENTRAL,2021,3,,2,,,,1,,,2,91,12,93,,WEST NORTH CENTRAL,20210320,,
MASSACHUSETTS,2021,3,,2,,,,1,,2,5,30,24,45,MASSACHUSETTS,,20210305,-71.481104,42.151077
MOUNTAIN,2021,3,,2,,,,1,,1,15,150,52,109,,MOUNTAIN,20210348,,
INDIANA,2021,3,,0,,,,0,,1,,27,1,31,INDIANA,,20210316,-86.2818,39.919991
NON-US RESIDENTS,2021,3,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210369,,
US TERRITORIES,2021,3,,0,,,,0,,,,11,2,11,,US TERRITORIES,20210363,,
TOTAL,2021,10,,3,2,29,2,6,10,62,113,1453,2061,4561,,TOTAL,20211070,,
US RESIDENTS,2021,10,,3,2,29,2,6,10,62,113,1450,2059,4536,,US RESIDENTS,20211001,,
NEW HAMPSHIRE,2021,10,,0,,,,0,,,,9,11,17,NEW HAMPSHIRE,,20211006,-71.57139,43.680429
NEW YORK,2021,10,,2,,1,1,2,3,1,17,49,92,146,NEW YORK,,20211011,-75.59655,42.921241
PACIFIC,2021,10,,1,2,1,1,2,2,15,18,158,270,203,,PACIFIC,20211057,,
WEST SOUTH CENTRAL,2021,10,,1,,1,,1,,4,12,223,228,545,,WEST SOUTH CENTRAL,20211043,,
NEBRASKA,2021,10,,1,,,,0,,,1,16,27,28,NEBRASKA,,20211025,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,10,,1,,1,,1,,2,1,93,130,238,,EAST SOUTH CENTRAL,20211038,,
NORTH DAKOTA,2021,10,,0,,,,0,,,,5,4,11,NORTH DAKOTA,,20211026,-100.46931,47.446305
NEVADA,2021,10,,0,,2,,0,,,1,3,7,11,NEVADA,,20211053,-114.916992,39.283294
ILLINOIS,2021,10,,2,,4,,1,,2,,71,68,202,ILLINOIS,,20211015,-89.148632,40.124144
IOWA,2021,10,,2,,1,,0,,,1,34,36,77,IOWA,,20211021,-93.500061,42.074659
TEXAS,2021,10,,1,,1,,1,,2,2,152,99,290,TEXAS,,20211047,-99.317341,31.447238
ALASKA,2021,10,,1,,,,0,,,,6,,,ALASKA,,20211058,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,10,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211030,-77.016275,38.904785
WASHINGTON,2021,10,,1,1,1,,1,,7,7,69,61,95,WASHINGTON,,20211062,-120.592492,47.411715
NEW ENGLAND,2021,10,,1,,5,,1,1,3,5,62,122,219,,NEW ENGLAND,20211002,,
RHODE ISLAND,2021,10,,0,,,,0,,,,10,,13,RHODE ISLAND,,20211007,-71.534637,41.572574
OREGON,2021,10,,0,,,,0,,1,3,68,37,37,OREGON,,20211061,-120.605279,43.940449
DELAWARE,2021,10,,0,,,,1,1,,,10,9,,DELAWARE,,20211029,-75.452394,38.994926
ALABAMA,2021,10,,1,,1,,1,,,1,44,46,96,ALABAMA,,20211039,-86.844516,32.756889
KANSAS,2021,10,,0,,,,0,,,2,26,38,58,KANSAS,,20211022,-98.38018,38.484729
NORTH CAROLINA,2021,10,,0,,,,1,,3,,68,34,186,NORTH CAROLINA,,20211034,-79.130883,35.52603
GUAM,2021,10,,0,,,,0,,,,0,,,GUAM,,20211066,144.653198,13.3532
NEW JERSEY,2021,10,,0,,,,1,,5,,1,,41,NEW JERSEY,,20211010,-74.655514,40.110253
NEW MEXICO,2021,10,,0,,,,0,,,,15,,41,NEW MEXICO,,20211054,-106.108388,34.421369
EAST NORTH CENTRAL,2021,10,,2,,8,,2,,4,10,217,283,674,,EAST NORTH CENTRAL,20211014,,
TENNESSEE,2021,10,,1,,,,0,,1,,41,59,91,TENNESSEE,,20211042,-86.343226,35.842998
CONNECTICUT,2021,10,,0,,3,,1,,,,17,,61,CONNECTICUT,,20211003,-72.738288,41.575155
MARYLAND,2021,10,,1,,,,1,,1,,37,,94,MARYLAND,,20211033,-76.687282,38.946466
SOUTH CAROLINA,2021,10,,0,,,,0,,2,6,85,86,103,SOUTH CAROLINA,,20211035,-80.864614,33.878572
OKLAHOMA,2021,10,,0,,,,0,,2,1,41,49,77,OKLAHOMA,,20211046,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,10,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211065,145.725693,15.1834
OHIO,2021,10,,0,,,,1,,1,,48,96,128,OHIO,,20211018,-82.70936,40.415534
MINNESOTA,2021,10,,0,,,,0,,,,0,,,MINNESOTA,,20211023,-94.198308,46.349153
LOUISIANA,2021,10,,0,,,,0,,,5,47,36,141,LOUISIANA,,20211045,-91.840238,30.921314
HAWAII,2021,10,,1,1,,,0,,,,6,15,17,HAWAII,,20211060,-157.854309,21.361013
SOUTH ATLANTIC,2021,10,,1,,2,,2,1,9,18,784,386,1506,,SOUTH ATLANTIC,20211028,,
PENNSYLVANIA,2021,10,,1,,2,,2,2,6,3,52,79,178,PENNSYLVANIA,,20211013,-77.838886,40.896694
UTAH,2021,10,,0,,,,0,,,,52,24,43,UTAH,,20211055,-111.678222,39.323779
COLORADO,2021,10,,1,,,,1,,,6,30,75,104,COLORADO,,20211050,-105.547832,38.998552
VERMONT,2021,10,,0,,,,0,,,,8,2,7,VERMONT,,20211008,-72.662695,44.075252
KENTUCKY,2021,10,,0,,,,0,,1,,51,25,51,KENTUCKY,,20211040,-85.290484,37.526683
PUERTO RICO,2021,10,,0,,,,0,,,,11,2,25,PUERTO RICO,,20211067,-66.414655,18.215692
MAINE,2021,10,,0,,,,0,,,1,10,12,4,MAINE,,20211004,-69.06137,45.117911
VIRGINIA,2021,10,,1,,1,,2,,3,9,54,100,96,VIRGINIA,,20211036,-78.666382,37.510861
ARIZONA,2021,10,,1,,1,,0,,3,3,28,96,92,ARIZONA,,20211049,-111.664616,34.293239
AMERICAN SAMOA,2021,10,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211064,,
WISCONSIN,2021,10,,0,,1,,1,,,10,33,64,119,WISCONSIN,,20211019,-89.732969,44.639954
IDAHO,2021,10,,0,,,,0,,,,14,,39,IDAHO,,20211051,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,10,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20211068,-64.840836,18.060868
MICHIGAN,2021,10,,0,,3,,1,,,,47,24,129,MICHIGAN,,20211017,-85.730977,44.874798
GEORGIA,2021,10,,0,,,,0,,,3,188,126,255,GEORGIA,,20211032,-83.426574,32.638481
NEW YORK CITY,2021,10,,1,,4,,2,1,8,14,43,108,159,,NEW YORK CITY,20211012,,
ARKANSAS,2021,10,,1,,,,1,,,4,23,44,37,ARKANSAS,,20211044,-92.439162,34.899825
MISSISSIPPI,2021,10,,0,,,,0,,,,0,,,MISSISSIPPI,,20211041,-89.65344,32.713378
SOUTH DAKOTA,2021,10,,0,,,,0,,,,2,7,10,SOUTH DAKOTA,,20211027,-100.230491,44.43614
WYOMING,2021,10,,0,,,,0,,,1,9,12,10,WYOMING,,20211056,-107.55145,42.999627
MISSOURI,2021,10,,0,,,,1,,2,,36,17,90,MISSOURI,,20211024,-92.477244,38.3675
MIDDLE ATLANTIC,2021,10,,2,,7,1,2,6,20,34,128,279,524,,MIDDLE ATLANTIC,20211009,,
CALIFORNIA,2021,10,,1,,,1,2,2,7,8,56,157,54,CALIFORNIA,,20211059,-119.662127,37.211164
WEST VIRGINIA,2021,10,,0,,,,0,,,,14,1,14,WEST VIRGINIA,,20211037,-80.613729,38.642579
FLORIDA,2021,10,,0,,1,,1,,,,391,30,755,FLORIDA,,20211031,-82.420978,28.260731
MONTANA,2021,10,,0,,,,0,,,,30,18,13,MONTANA,,20211052,-109.645127,47.033521
TOTAL,2021,4,,6,,9,,7,1,23,121,1412,603,1754,,TOTAL,20210470,,
US RESIDENTS,2021,4,,6,,9,,7,1,23,121,1409,601,1743,,US RESIDENTS,20210401,,
NEW HAMPSHIRE,2021,4,,0,,,,0,,,,9,4,8,NEW HAMPSHIRE,,20210406,-71.57139,43.680429
NEW YORK,2021,4,,2,,,,1,,,11,49,25,17,NEW YORK,,20210411,-75.59655,42.921241
PACIFIC,2021,4,,1,,1,,3,,6,15,150,85,80,,PACIFIC,20210457,,
WEST SOUTH CENTRAL,2021,4,,1,,,,1,,1,21,223,76,191,,WEST SOUTH CENTRAL,20210443,,
NEBRASKA,2021,4,,1,,,,0,,,3,16,13,12,NEBRASKA,,20210425,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,4,,1,,1,,1,,1,4,93,33,101,,EAST SOUTH CENTRAL,20210438,,
NORTH DAKOTA,2021,4,,0,,,,0,,,,5,,8,NORTH DAKOTA,,20210426,-100.46931,47.446305
NEVADA,2021,4,,2,,,,0,,,,3,,3,NEVADA,,20210453,-114.916992,39.283294
ILLINOIS,2021,4,,2,,1,,1,,,,71,7,92,ILLINOIS,,20210415,-89.148632,40.124144
IOWA,2021,4,,2,,1,,0,,,1,34,9,27,IOWA,,20210421,-93.500061,42.074659
TEXAS,2021,4,,1,,,,1,,1,7,152,25,79,TEXAS,,20210447,-99.317341,31.447238
ALASKA,2021,4,,1,,,,0,,,,6,,,ALASKA,,20210458,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,4,,0,,,,0,,,,2,,1,DISTRICT OF COLUMBIA,,20210430,-77.016275,38.904785
OREGON,2021,4,,0,,,,0,,1,,67,13,13,OREGON,,20210461,-120.605279,43.940449
WASHINGTON,2021,4,,1,,1,,1,,2,3,69,15,52,WASHINGTON,,20210462,-120.592492,47.411715
NEW ENGLAND,2021,4,,1,,5,,1,,3,4,61,43,89,,NEW ENGLAND,20210402,,
RHODE ISLAND,2021,4,,0,,,,0,,,,10,,5,RHODE ISLAND,,20210407,-71.534637,41.572574
DELAWARE,2021,4,,0,,,,0,,,,10,1,,DELAWARE,,20210429,-75.452394,38.994926
ALABAMA,2021,4,,1,,1,,1,,,2,44,13,50,ALABAMA,,20210439,-86.844516,32.756889
KANSAS,2021,4,,0,,,,0,,,1,26,5,30,KANSAS,,20210422,-98.38018,38.484729
NORTH CAROLINA,2021,4,,0,,,,2,,,,60,4,90,NORTH CAROLINA,,20210434,-79.130883,35.52603
GUAM,2021,4,,0,,,,0,,,,0,,,GUAM,,20210466,144.653198,13.3532
NEW JERSEY,2021,4,,0,,,,0,,,,8,,29,NEW JERSEY,,20210410,-74.655514,40.110253
NEW MEXICO,2021,4,,0,,,,0,,,,15,,21,NEW MEXICO,,20210454,-106.108388,34.421369
EAST NORTH CENTRAL,2021,4,,2,,1,,1,,1,12,170,75,243,,EAST NORTH CENTRAL,20210414,,
TENNESSEE,2021,4,,1,,,,1,,,1,39,15,30,TENNESSEE,,20210442,-86.343226,35.842998
CONNECTICUT,2021,4,,0,,3,,1,,,,17,,18,CONNECTICUT,,20210403,-72.738288,41.575155
MARYLAND,2021,4,,1,,,,1,,,,37,,45,MARYLAND,,20210433,-76.687282,38.946466
SOUTH CAROLINA,2021,4,,0,,,,1,,1,4,85,20,49,SOUTH CAROLINA,,20210435,-80.864614,33.878572
OKLAHOMA,2021,4,,0,,,,1,,,,41,9,21,OKLAHOMA,,20210446,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,4,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210465,145.725693,15.1834
OHIO,2021,4,,0,,,,1,,,11,48,48,63,OHIO,,20210418,-82.70936,40.415534
MINNESOTA,2021,4,,0,,,,0,,,,0,,,MINNESOTA,,20210423,-94.198308,46.349153
LOUISIANA,2021,4,,0,,,,0,,,10,47,22,76,LOUISIANA,,20210445,-91.840238,30.921314
HAWAII,2021,4,,0,,,,0,,,,6,8,6,HAWAII,,20210460,-157.854309,21.361013
SOUTH ATLANTIC,2021,4,,1,,,,3,,1,13,774,84,594,,SOUTH ATLANTIC,20210428,,
PENNSYLVANIA,2021,4,,1,,,,2,,4,4,51,25,66,PENNSYLVANIA,,20210413,-77.838886,40.896694
UTAH,2021,4,,0,,,,0,,,4,52,8,18,UTAH,,20210455,-111.678222,39.323779
COLORADO,2021,4,,1,,,,1,,,6,30,27,40,COLORADO,,20210450,-105.547832,38.998552
VERMONT,2021,4,,0,,,,0,,,,8,1,3,VERMONT,,20210408,-72.662695,44.075252
KENTUCKY,2021,4,,0,,,,0,,1,1,51,5,21,KENTUCKY,,20210440,-85.290484,37.526683
PUERTO RICO,2021,4,,0,,,,0,,,,11,2,11,PUERTO RICO,,20210467,-66.414655,18.215692
MAINE,2021,4,,0,,,,0,,,,10,2,3,MAINE,,20210404,-69.06137,45.117911
VIRGINIA,2021,4,,1,,,,2,,,7,51,31,30,VIRGINIA,,20210436,-78.666382,37.510861
ARIZONA,2021,4,,1,,,,1,,2,7,28,44,41,ARIZONA,,20210449,-111.664616,34.293239
AMERICAN SAMOA,2021,4,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210464,,
WISCONSIN,2021,4,,1,,,,1,,,1,33,19,52,WISCONSIN,,20210419,-89.732969,44.639954
IDAHO,2021,4,,0,,,,0,,,,14,,12,IDAHO,,20210451,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,4,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210468,-64.840836,18.060868
MICHIGAN,2021,4,,0,,,,0,,,,0,,,MICHIGAN,,20210417,-85.730977,44.874798
GEORGIA,2021,4,,0,,,,0,,,2,187,28,109,GEORGIA,,20210432,-83.426574,32.638481
NEW YORK CITY,2021,4,,1,,,,2,1,4,12,42,42,71,,NEW YORK CITY,20210412,,
ARKANSAS,2021,4,,1,,,,1,,,4,23,20,15,ARKANSAS,,20210444,-92.439162,34.899825
MISSISSIPPI,2021,4,,0,,,,0,,,,0,,,MISSISSIPPI,,20210441,-89.65344,32.713378
SOUTH DAKOTA,2021,4,,0,,,,0,,,,1,,9,SOUTH DAKOTA,,20210427,-100.230491,44.43614
WYOMING,2021,4,,0,,,,0,,,,9,3,,WYOMING,,20210456,-107.55145,42.999627
MISSOURI,2021,4,,0,,,,1,,,3,36,4,34,MISSOURI,,20210424,-92.477244,38.3675
MIDDLE ATLANTIC,2021,4,,2,,,,2,1,8,27,129,92,183,,MIDDLE ATLANTIC,20210409,,
TOTAL,2021,5,,6,,11,1,7,3,30,91,1432,755,2310,,TOTAL,20210570,,
CALIFORNIA,2021,4,,0,,,,2,,3,12,54,49,9,CALIFORNIA,,20210459,-119.662127,37.211164
WEST VIRGINIA,2021,4,,0,,,,0,,,,14,,8,WEST VIRGINIA,,20210437,-80.613729,38.642579
FLORIDA,2021,4,,1,,,,1,,,,388,,262,FLORIDA,,20210431,-82.420978,28.260731
MONTANA,2021,4,,0,,,,0,,,,27,,7,MONTANA,,20210452,-109.645127,47.033521
WEST NORTH CENTRAL,2021,4,,2,,1,,1,,,8,92,31,120,,WEST NORTH CENTRAL,20210420,,
MASSACHUSETTS,2021,4,,1,,2,,1,,3,4,30,36,52,MASSACHUSETTS,,20210405,-71.481104,42.151077
MOUNTAIN,2021,4,,2,,,,1,,2,17,150,82,142,,MOUNTAIN,20210448,,
INDIANA,2021,4,,0,,,,0,,1,,27,1,36,INDIANA,,20210416,-86.2818,39.919991
NON-US RESIDENTS,2021,4,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210469,,
US TERRITORIES,2021,4,,0,,,,0,,,,11,2,11,,US TERRITORIES,20210463,,
US RESIDENTS,2021,5,,6,,11,1,7,3,30,91,1429,753,2296,,US RESIDENTS,20210501,,
NEW HAMPSHIRE,2021,5,,0,,,,0,,,1,9,7,8,NEW HAMPSHIRE,,20210506,-71.57139,43.680429
NEW YORK,2021,5,,2,,,,1,,,9,49,35,37,NEW YORK,,20210511,-75.59655,42.921241
PACIFIC,2021,5,,1,,1,,3,1,8,8,152,108,90,,PACIFIC,20210557,,
WEST SOUTH CENTRAL,2021,5,,1,,,,1,,1,14,223,102,264,,WEST SOUTH CENTRAL,20210543,,
NEBRASKA,2021,5,,1,,,,0,,,2,16,15,15,NEBRASKA,,20210525,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,5,,1,,1,,1,,1,5,93,49,122,,EAST SOUTH CENTRAL,20210538,,
NORTH DAKOTA,2021,5,,0,,,,0,,,,5,,8,NORTH DAKOTA,,20210526,-100.46931,47.446305
NEVADA,2021,5,,2,,,,0,,,1,3,1,6,NEVADA,,20210553,-114.916992,39.283294
ILLINOIS,2021,5,,2,,1,,1,,,,71,7,109,ILLINOIS,,20210515,-89.148632,40.124144
IOWA,2021,5,,2,,1,,0,,,1,34,10,37,IOWA,,20210521,-93.500061,42.074659
TEXAS,2021,5,,1,,,,1,,1,5,152,31,131,TEXAS,,20210547,-99.317341,31.447238
ALASKA,2021,5,,1,,,,0,,,,6,,,ALASKA,,20210558,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,5,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20210530,-77.016275,38.904785
WASHINGTON,2021,5,,1,,1,,1,,3,1,69,18,57,WASHINGTON,,20210562,-120.592492,47.411715
NEW ENGLAND,2021,5,,1,,5,1,1,1,3,11,61,66,106,,NEW ENGLAND,20210502,,
RHODE ISLAND,2021,5,,0,,,,0,,,,10,,6,RHODE ISLAND,,20210507,-71.534637,41.572574
OREGON,2021,5,,0,,,,0,,1,1,67,14,14,OREGON,,20210561,-120.605279,43.940449
DELAWARE,2021,5,,0,,,,0,,,,10,1,,DELAWARE,,20210529,-75.452394,38.994926
ALABAMA,2021,5,,1,,1,,1,,,1,44,20,57,ALABAMA,,20210539,-86.844516,32.756889
KANSAS,2021,5,,0,,,,0,,,,26,5,36,KANSAS,,20210522,-98.38018,38.484729
NORTH CAROLINA,2021,5,,0,,,,2,,,,60,4,106,NORTH CAROLINA,,20210534,-79.130883,35.52603
GUAM,2021,5,,0,,,,0,,,,0,,,GUAM,,20210566,144.653198,13.3532
NEW JERSEY,2021,5,,0,,,,3,,1,,2,,37,NEW JERSEY,,20210510,-74.655514,40.110253
NEW MEXICO,2021,5,,0,,,,0,,,,15,,30,NEW MEXICO,,20210554,-106.108388,34.421369
EAST NORTH CENTRAL,2021,5,,2,,1,,1,,2,1,207,84,333,,EAST NORTH CENTRAL,20210514,,
TENNESSEE,2021,5,,1,,,,1,,,2,39,20,39,TENNESSEE,,20210542,-86.343226,35.842998
CONNECTICUT,2021,5,,0,,3,,1,,,,17,,25,CONNECTICUT,,20210503,-72.738288,41.575155
MARYLAND,2021,5,,1,,,,1,,,,37,,58,MARYLAND,,20210533,-76.687282,38.946466
SOUTH CAROLINA,2021,5,,0,,,,1,,1,3,85,38,60,SOUTH CAROLINA,,20210535,-80.864614,33.878572
OKLAHOMA,2021,5,,0,,,,1,,,4,41,24,26,OKLAHOMA,,20210546,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,5,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210565,145.725693,15.1834
OHIO,2021,5,,0,,,,1,,1,,48,48,75,OHIO,,20210518,-82.70936,40.415534
MINNESOTA,2021,5,,0,,,,0,,,,0,,,MINNESOTA,,20210523,-94.198308,46.349153
TOTAL,2021,6,,6,,12,,7,3,35,75,1421,969,2751,,TOTAL,20210670,,
LOUISIANA,2021,5,,0,,,,0,,,,47,22,88,LOUISIANA,,20210545,-91.840238,30.921314
HAWAII,2021,5,,0,,,,0,,,,6,8,8,HAWAII,,20210560,-157.854309,21.361013
SOUTH ATLANTIC,2021,5,,1,,,,3,,1,17,777,127,791,,SOUTH ATLANTIC,20210528,,
PENNSYLVANIA,2021,5,,1,,,,1,,6,1,51,33,94,PENNSYLVANIA,,20210513,-77.838886,40.896694
UTAH,2021,5,,0,,,,0,,,1,52,10,21,UTAH,,20210555,-111.678222,39.323779
COLORADO,2021,5,,1,,,,1,,,7,30,43,49,COLORADO,,20210550,-105.547832,38.998552
VERMONT,2021,5,,0,,,,0,,,,8,1,3,VERMONT,,20210508,-72.662695,44.075252
KENTUCKY,2021,5,,0,,,,0,,1,2,51,9,26,KENTUCKY,,20210540,-85.290484,37.526683
PUERTO RICO,2021,5,,0,,,,0,,,,11,2,14,PUERTO RICO,,20210567,-66.414655,18.215692
MAINE,2021,5,,0,,,,0,,,,10,4,4,MAINE,,20210504,-69.06137,45.117911
VIRGINIA,2021,5,,1,,,,2,,,6,52,43,43,VIRGINIA,,20210536,-78.666382,37.510861
