Reporting Area,MMWR Year,MMWR Week,Salmonella Paratyphi infection Current week,Salmonella Paratyphi infection Previous 52 weeks,Salmonella Paratyphi infection 2021,Salmonella Paratyphi infection 2020,Salmonella Typhi infection Current week,Salmonella Typhi infection Previous 52 weeks,Salmonella Typhi infection 2021,Salmonella Typhi infection 2020,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Current week,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Previous 52 weeks,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2021,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2020,Location 1,Location 2,Reporting Area Sort,Geocode Latitude,Geocode Longitude
LOUISIANA,2021,8,,0,,,,0,,,,47,22,117,LOUISIANA,,20210845,-91.840238,30.921314
HAWAII,2021,8,,1,1,,,0,,,,6,11,12,HAWAII,,20210860,-157.854309,21.361013
SOUTH ATLANTIC,2021,8,,1,,1,,3,1,4,17,783,245,1230,,SOUTH ATLANTIC,20210828,,
PENNSYLVANIA,2021,8,,1,,2,2,1,2,6,3,52,58,138,PENNSYLVANIA,,20210813,-77.838886,40.896694
UTAH,2021,8,,0,,,,0,,,3,52,18,31,UTAH,,20210855,-111.678222,39.323779
COLORADO,2021,8,,1,,,,1,,,8,30,61,85,COLORADO,,20210850,-105.547832,38.998552
VERMONT,2021,8,,0,,,,0,,,,8,2,5,VERMONT,,20210808,-72.662695,44.075252
KENTUCKY,2021,8,,0,,,,0,,1,,51,18,41,KENTUCKY,,20210840,-85.290484,37.526683
PUERTO RICO,2021,8,,0,,,,0,,,,11,2,20,PUERTO RICO,,20210867,-66.414655,18.215692
MAINE,2021,8,,0,,,,0,,,,10,10,4,MAINE,,20210804,-69.06137,45.117911
VIRGINIA,2021,8,,1,,1,,2,,1,4,54,66,73,VIRGINIA,,20210836,-78.666382,37.510861
ARIZONA,2021,8,,1,,1,,0,,3,11,28,79,73,ARIZONA,,20210849,-111.664616,34.293239
AMERICAN SAMOA,2021,8,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210864,,
WISCONSIN,2021,8,,0,,1,,1,,,4,33,42,101,WISCONSIN,,20210819,-89.732969,44.639954
IDAHO,2021,8,,0,,,,0,,,,14,,26,IDAHO,,20210851,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,8,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210868,-64.840836,18.060868
MICHIGAN,2021,8,,0,,2,,1,,,1,46,24,107,MICHIGAN,,20210817,-85.730977,44.874798
GEORGIA,2021,8,,0,,,,0,,,9,188,77,206,GEORGIA,,20210832,-83.426574,32.638481
NEW YORK CITY,2021,8,,1,,2,,2,1,6,11,43,83,136,,NEW YORK CITY,20210812,,
ARKANSAS,2021,8,,1,,,,1,,,5,23,35,31,ARKANSAS,,20210844,-92.439162,34.899825
MISSISSIPPI,2021,8,,0,,,,0,,,,0,,,MISSISSIPPI,,20210841,-89.65344,32.713378
SOUTH DAKOTA,2021,8,,0,,,,0,,,,0,,10,SOUTH DAKOTA,,20210827,-100.230491,44.43614
WYOMING,2021,8,,0,,,,0,,,,9,10,7,WYOMING,,20210856,-107.55145,42.999627
MISSOURI,2021,8,,0,,,,1,,2,,36,17,75,MISSOURI,,20210824,-92.477244,38.3675
MIDDLE ATLANTIC,2021,8,,2,,4,2,4,5,14,26,128,204,425,,MIDDLE ATLANTIC,20210809,,
CALIFORNIA,2021,8,,0,,,,2,1,7,8,55,120,43,CALIFORNIA,,20210859,-119.662127,37.211164
WEST VIRGINIA,2021,8,,0,,,,0,,,,14,,12,WEST VIRGINIA,,20210837,-80.613729,38.642579
FLORIDA,2021,8,,1,,,,1,,,,391,,611,FLORIDA,,20210831,-82.420978,28.260731
MONTANA,2021,8,,0,,,,0,,,,28,,11,MONTANA,,20210852,-109.645127,47.033521
WEST NORTH CENTRAL,2021,8,,2,,1,,1,,2,3,92,62,219,,WEST NORTH CENTRAL,20210820,,
MASSACHUSETTS,2021,8,,1,,2,,1,1,3,7,30,81,88,MASSACHUSETTS,,20210805,-71.481104,42.151077
MOUNTAIN,2021,8,,2,,1,,1,,3,22,151,171,280,,MOUNTAIN,20210848,,
INDIANA,2021,8,,0,,,,0,,1,,27,11,74,INDIANA,,20210816,-86.2818,39.919991
NON-US RESIDENTS,2021,8,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210869,,
US TERRITORIES,2021,8,,0,,,,0,,,,11,2,20,,US TERRITORIES,20210863,,
TOTAL,2021,9,,6,2,22,,7,8,55,111,1448,1697,4146,,TOTAL,20210970,,
US RESIDENTS,2021,9,,6,2,22,,7,8,55,111,1445,1695,4124,,US RESIDENTS,20210901,,
NEW HAMPSHIRE,2021,9,,0,,,,0,,,,8,11,16,NEW HAMPSHIRE,,20210906,-71.57139,43.680429
NEW YORK,2021,9,,2,,1,,2,2,1,12,49,75,131,NEW YORK,,20210911,-75.59655,42.921241
PACIFIC,2021,9,,1,2,1,,2,1,14,10,158,235,182,,PACIFIC,20210957,,
WEST SOUTH CENTRAL,2021,9,,1,,1,,1,,4,23,223,205,496,,WEST SOUTH CENTRAL,20210943,,
NEBRASKA,2021,9,,1,,,,0,,,2,16,26,24,NEBRASKA,,20210925,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,9,,1,,1,,1,,2,1,93,107,220,,EAST SOUTH CENTRAL,20210938,,
NORTH DAKOTA,2021,9,,0,,,,0,,,,5,4,11,NORTH DAKOTA,,20210926,-100.46931,47.446305
NEVADA,2021,9,,2,,,,0,,,,3,6,10,NEVADA,,20210953,-114.916992,39.283294
ILLINOIS,2021,9,,2,,2,,1,,2,,71,45,188,ILLINOIS,,20210915,-89.148632,40.124144
IOWA,2021,9,,2,,1,,0,,,,34,12,63,IOWA,,20210921,-93.500061,42.074659
TEXAS,2021,9,,1,,1,,1,,2,,152,85,269,TEXAS,,20210947,-99.317341,31.447238
ALASKA,2021,9,,1,,,,0,,,,6,,,ALASKA,,20210958,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,9,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20210930,-77.016275,38.904785
WASHINGTON,2021,9,,1,1,1,,1,,6,2,69,52,84,WASHINGTON,,20210962,-120.592492,47.411715
NEW ENGLAND,2021,9,,1,,5,,1,1,3,7,62,115,191,,NEW ENGLAND,20210902,,
RHODE ISLAND,2021,9,,0,,,,0,,,,10,,11,RHODE ISLAND,,20210907,-71.534637,41.572574
OREGON,2021,9,,0,,,,0,,1,2,68,31,36,OREGON,,20210961,-120.605279,43.940449
DELAWARE,2021,9,,0,,,,1,1,,1,10,8,,DELAWARE,,20210929,-75.452394,38.994926
ALABAMA,2021,9,,1,,1,,1,,,1,44,41,90,ALABAMA,,20210939,-86.844516,32.756889
KANSAS,2021,9,,0,,,,0,,,3,26,31,51,KANSAS,,20210922,-98.38018,38.484729
NORTH CAROLINA,2021,9,,0,,,,2,,1,,68,33,170,NORTH CAROLINA,,20210934,-79.130883,35.52603
GUAM,2021,9,,0,,,,0,,,,0,,,GUAM,,20210966,144.653198,13.3532
NEW JERSEY,2021,9,,0,,,,3,,2,,1,,41,NEW JERSEY,,20210910,-74.655514,40.110253
NEW MEXICO,2021,9,,0,,,,0,,,,15,,38,NEW MEXICO,,20210954,-106.108388,34.421369
EAST NORTH CENTRAL,2021,9,,2,,5,,2,,4,5,216,224,617,,EAST NORTH CENTRAL,20210914,,
TENNESSEE,2021,9,,1,,,,0,,1,,39,41,85,TENNESSEE,,20210942,-86.343226,35.842998
CONNECTICUT,2021,9,,0,,3,,1,,,,17,,52,CONNECTICUT,,20210903,-72.738288,41.575155
MARYLAND,2021,9,,1,,,,1,,1,,37,,88,MARYLAND,,20210933,-76.687282,38.946466
SOUTH CAROLINA,2021,9,,0,,,,0,,2,,85,64,95,SOUTH CAROLINA,,20210935,-80.864614,33.878572
OKLAHOMA,2021,9,,0,,,,0,,2,10,41,50,68,OKLAHOMA,,20210946,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,9,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20210965,145.725693,15.1834
OHIO,2021,9,,0,,,,1,,1,,48,80,119,OHIO,,20210918,-82.70936,40.415534
MINNESOTA,2021,9,,0,,,,0,,,,0,,,MINNESOTA,,20210923,-94.198308,46.349153
LOUISIANA,2021,9,,0,,,,0,,,8,47,30,126,LOUISIANA,,20210945,-91.840238,30.921314
HAWAII,2021,9,,1,1,,,0,,,,6,15,15,HAWAII,,20210960,-157.854309,21.361013
SOUTH ATLANTIC,2021,9,,1,,1,,2,1,7,16,784,283,1377,,SOUTH ATLANTIC,20210928,,
PENNSYLVANIA,2021,9,,1,,2,,2,2,6,8,52,73,165,PENNSYLVANIA,,20210913,-77.838886,40.896694
UTAH,2021,9,,0,,,,0,,,4,52,22,37,UTAH,,20210955,-111.678222,39.323779
COLORADO,2021,9,,1,,,,1,,,3,30,67,95,COLORADO,,20210950,-105.547832,38.998552
VERMONT,2021,9,,0,,,,0,,,,8,2,6,VERMONT,,20210908,-72.662695,44.075252
KENTUCKY,2021,9,,0,,,,0,,1,,51,25,45,KENTUCKY,,20210940,-85.290484,37.526683
PUERTO RICO,2021,9,,0,,,,0,,,,11,2,22,PUERTO RICO,,20210967,-66.414655,18.215692
MAINE,2021,9,,0,,,,0,,,1,10,11,4,MAINE,,20210904,-69.06137,45.117911
VIRGINIA,2021,9,,1,,1,,2,,3,8,54,80,88,VIRGINIA,,20210936,-78.666382,37.510861
ARIZONA,2021,9,,1,,1,,0,,3,9,28,89,83,ARIZONA,,20210949,-111.664616,34.293239
AMERICAN SAMOA,2021,9,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20210964,,
WISCONSIN,2021,9,,0,,1,,1,,,5,33,47,112,WISCONSIN,,20210919,-89.732969,44.639954
IDAHO,2021,9,,0,,,,0,,,,14,,35,IDAHO,,20210951,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,9,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20210968,-64.840836,18.060868
MICHIGAN,2021,9,,0,,2,,1,,,,46,24,112,MICHIGAN,,20210917,-85.730977,44.874798
GEORGIA,2021,9,,0,,,,0,,,7,188,96,231,GEORGIA,,20210932,-83.426574,32.638481
NEW YORK CITY,2021,9,,1,,3,,2,1,7,8,43,94,144,,NEW YORK CITY,20210912,,
ARKANSAS,2021,9,,1,,,,1,,,5,23,40,33,ARKANSAS,,20210944,-92.439162,34.899825
MISSISSIPPI,2021,9,,0,,,,0,,,,0,,,MISSISSIPPI,,20210941,-89.65344,32.713378
SOUTH DAKOTA,2021,9,,0,,,,0,,,,0,,10,SOUTH DAKOTA,,20210927,-100.230491,44.43614
WYOMING,2021,9,,0,,,,0,,,,9,10,8,WYOMING,,20210956,-107.55145,42.999627
MISSOURI,2021,9,,0,,,,1,,2,,36,17,83,MISSOURI,,20210924,-92.477244,38.3675
MIDDLE ATLANTIC,2021,9,,2,,6,,4,5,16,28,128,242,481,,MIDDLE ATLANTIC,20210909,,
CALIFORNIA,2021,9,,0,,,,2,1,7,6,56,137,47,CALIFORNIA,,20210959,-119.662127,37.211164
WEST VIRGINIA,2021,9,,0,,,,0,,,,14,,14,WEST VIRGINIA,,20210937,-80.613729,38.642579
FLORIDA,2021,9,,1,,,,1,,,,391,2,688,FLORIDA,,20210931,-82.420978,28.260731
MONTANA,2021,9,,0,,,,0,,,,28,,12,MONTANA,,20210952,-109.645127,47.033521
WEST NORTH CENTRAL,2021,9,,2,,1,,1,,2,5,92,90,242,,WEST NORTH CENTRAL,20210920,,
MASSACHUSETTS,2021,9,,1,,2,,1,1,3,6,30,91,102,MASSACHUSETTS,,20210905,-71.481104,42.151077
MOUNTAIN,2021,9,,2,,1,,1,,3,16,151,194,318,,MOUNTAIN,20210948,,
INDIANA,2021,9,,0,,,,0,,1,,27,28,86,INDIANA,,20210916,-86.2818,39.919991
NON-US RESIDENTS,2021,9,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20210969,,
US TERRITORIES,2021,9,,0,,,,0,,,,11,2,22,,US TERRITORIES,20210963,,
MASSACHUSETTS,2021,10,,1,,2,,1,1,3,4,30,97,117,MASSACHUSETTS,,20211005,-71.481104,42.151077
MOUNTAIN,2021,10,,1,,3,,1,,3,11,153,232,353,,MOUNTAIN,20211048,,
INDIANA,2021,10,,0,,,,0,,1,,27,31,96,INDIANA,,20211016,-86.2818,39.919991
NON-US RESIDENTS,2021,10,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211069,,
US TERRITORIES,2021,10,,0,,,,0,,,,11,2,25,,US TERRITORIES,20211063,,
TOTAL,2021,11,,3,2,30,1,4,12,68,90,1465,2661,4959,,TOTAL,20211170,,
US RESIDENTS,2021,11,,3,2,30,1,4,12,68,90,1462,2659,4934,,US RESIDENTS,20211101,,
NEW HAMPSHIRE,2021,11,,0,,,,0,,,,9,12,17,NEW HAMPSHIRE,,20211106,-71.57139,43.680429
NEW YORK,2021,11,,2,,1,,2,3,2,11,49,100,168,NEW YORK,,20211111,-75.59655,42.921241
PACIFIC,2021,11,,1,2,1,,2,3,15,20,160,322,227,,PACIFIC,20211157,,
WEST SOUTH CENTRAL,2021,11,,1,,1,,1,,5,10,226,286,605,,WEST SOUTH CENTRAL,20211143,,
NEBRASKA,2021,11,,0,,,,0,,,,16,27,32,NEBRASKA,,20211125,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,11,,1,,1,,1,,2,2,93,143,261,,EAST SOUTH CENTRAL,20211138,,
NORTH DAKOTA,2021,11,,0,,,,0,,,,5,4,12,NORTH DAKOTA,,20211126,-100.46931,47.446305
NEVADA,2021,11,,0,,2,,0,,,,3,7,11,NEVADA,,20211153,-114.916992,39.283294
ILLINOIS,2021,11,,2,,5,,1,,3,,71,86,220,ILLINOIS,,20211115,-89.148632,40.124144
IOWA,2021,11,,2,,1,,0,,,,34,41,83,IOWA,,20211121,-93.500061,42.074659
TEXAS,2021,11,,1,,1,,1,,3,1,153,105,322,TEXAS,,20211147,-99.317341,31.447238
ALASKA,2021,11,,1,,,,0,,,,6,,,ALASKA,,20211158,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,11,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211130,-77.016275,38.904785
WASHINGTON,2021,11,,1,1,1,,1,,7,4,69,74,101,WASHINGTON,,20211162,-120.592492,47.411715
NEW ENGLAND,2021,11,,1,,5,,1,1,3,6,62,132,239,,NEW ENGLAND,20211102,,
RHODE ISLAND,2021,11,,0,,,,0,,,,10,,15,RHODE ISLAND,,20211107,-71.534637,41.572574
OREGON,2021,11,,0,,,,0,,1,2,68,40,46,OREGON,,20211161,-120.605279,43.940449
DELAWARE,2021,11,,0,,,,1,1,,,10,9,,DELAWARE,,20211129,-75.452394,38.994926
ALABAMA,2021,11,,1,,1,,1,,,,44,46,101,ALABAMA,,20211139,-86.844516,32.756889
KANSAS,2021,11,,0,,,,0,,,,26,39,64,KANSAS,,20211122,-98.38018,38.484729
NORTH CAROLINA,2021,11,,0,,,,1,,3,,68,34,199,NORTH CAROLINA,,20211134,-79.130883,35.52603
GUAM,2021,11,,0,,,,0,,,,0,,,GUAM,,20211166,144.653198,13.3532
NEW JERSEY,2021,11,,0,,,,1,,5,,1,,41,NEW JERSEY,,20211110,-74.655514,40.110253
NEW MEXICO,2021,11,,0,,,,0,,,,15,,44,NEW MEXICO,,20211154,-106.108388,34.421369
EAST NORTH CENTRAL,2021,11,,2,,9,,1,,6,2,217,315,740,,EAST NORTH CENTRAL,20211114,,
TENNESSEE,2021,11,,1,,,,0,,1,,41,68,102,TENNESSEE,,20211142,-86.343226,35.842998
CONNECTICUT,2021,11,,0,,3,,1,,,,17,,65,CONNECTICUT,,20211103,-72.738288,41.575155
MARYLAND,2021,11,,1,,,,1,,1,,38,,98,MARYLAND,,20211133,-76.687282,38.946466
SOUTH CAROLINA,2021,11,,0,,,,0,,2,4,85,92,108,SOUTH CAROLINA,,20211135,-80.864614,33.878572
OKLAHOMA,2021,11,,0,,,,0,,2,5,41,53,84,OKLAHOMA,,20211146,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,11,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211165,145.725693,15.1834
OHIO,2021,11,,0,,,,1,,2,,48,105,141,OHIO,,20211118,-82.70936,40.415534
MINNESOTA,2021,11,,0,,,,0,,,,0,,,MINNESOTA,,20211123,-94.198308,46.349153
LOUISIANA,2021,11,,1,,,,0,,,,47,80,155,LOUISIANA,,20211145,-91.840238,30.921314
HAWAII,2021,11,,1,1,,,0,,,,6,18,19,HAWAII,,20211160,-157.854309,21.361013
SOUTH ATLANTIC,2021,11,,1,,2,,2,1,10,11,790,761,1610,,SOUTH ATLANTIC,20211128,,
PENNSYLVANIA,2021,11,,1,,1,,2,2,6,5,52,88,195,PENNSYLVANIA,,20211113,-77.838886,40.896694
UTAH,2021,11,,0,,,,0,,,,52,27,45,UTAH,,20211155,-111.678222,39.323779
COLORADO,2021,11,,1,,,,1,,,9,30,84,115,COLORADO,,20211150,-105.547832,38.998552
VERMONT,2021,11,,0,,,,0,,,,8,2,7,VERMONT,,20211108,-72.662695,44.075252
KENTUCKY,2021,11,,0,,,,0,,1,2,51,29,58,KENTUCKY,,20211140,-85.290484,37.526683
PUERTO RICO,2021,11,,0,,,,0,,,,11,2,25,PUERTO RICO,,20211167,-66.414655,18.215692
MAINE,2021,11,,0,,,,0,,,,10,13,5,MAINE,,20211104,-69.06137,45.117911
VIRGINIA,2021,11,,1,,1,,2,,4,7,54,109,107,VIRGINIA,,20211136,-78.666382,37.510861
ARIZONA,2021,11,,1,,1,1,0,1,3,6,28,111,100,ARIZONA,,20211149,-111.664616,34.293239
AMERICAN SAMOA,2021,11,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211164,,
WISCONSIN,2021,11,,0,,1,,1,,,2,33,69,132,WISCONSIN,,20211119,-89.732969,44.639954
IDAHO,2021,11,,0,,,,0,,,,14,,41,IDAHO,,20211151,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,11,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20211168,-64.840836,18.060868
MICHIGAN,2021,11,,0,,3,,1,,,,47,24,139,MICHIGAN,,20211117,-85.730977,44.874798
GEORGIA,2021,11,,0,,,,0,,,,188,126,275,GEORGIA,,20211132,-83.426574,32.638481
NEW YORK CITY,2021,11,,0,,5,,2,1,9,8,43,116,169,,NEW YORK CITY,20211112,,
ARKANSAS,2021,11,,1,,,,1,,,4,23,48,44,ARKANSAS,,20211144,-92.439162,34.899825
MISSISSIPPI,2021,11,,0,,,,0,,,,0,,,MISSISSIPPI,,20211141,-89.65344,32.713378
SOUTH DAKOTA,2021,11,,0,,,,0,,,,3,9,10,SOUTH DAKOTA,,20211127,-100.230491,44.43614
WYOMING,2021,11,,0,,,,0,,,,9,12,11,WYOMING,,20211156,-107.55145,42.999627
MISSOURI,2021,11,,0,,,,1,,2,,36,17,97,MISSOURI,,20211124,-92.477244,38.3675
MIDDLE ATLANTIC,2021,11,,2,,7,,2,6,22,24,128,304,573,,MIDDLE ATLANTIC,20211109,,
CALIFORNIA,2021,11,,1,,,,2,3,7,14,57,190,61,CALIFORNIA,,20211159,-119.662127,37.211164
WEST VIRGINIA,2021,11,,0,,,,0,,,,14,1,16,WEST VIRGINIA,,20211137,-80.613729,38.642579
FLORIDA,2021,11,,0,,1,,1,,,,396,390,804,FLORIDA,,20211131,-82.420978,28.260731
MONTANA,2021,11,,0,,,,0,,,,30,18,14,MONTANA,,20211152,-109.645127,47.033521
WEST NORTH CENTRAL,2021,11,,2,,1,,1,,2,,92,137,298,,WEST NORTH CENTRAL,20211120,,
MASSACHUSETTS,2021,11,,1,,2,,1,1,3,6,30,105,130,MASSACHUSETTS,,20211105,-71.481104,42.151077
MOUNTAIN,2021,11,,1,,3,1,1,1,3,15,153,259,381,,MOUNTAIN,20211148,,
INDIANA,2021,11,,0,,,,0,,1,,27,31,108,INDIANA,,20211116,-86.2818,39.919991
NON-US RESIDENTS,2021,11,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211169,,
US TERRITORIES,2021,11,,0,,,,0,,,,11,2,25,,US TERRITORIES,20211163,,
TOTAL,2021,12,1,3,4,33,,3,13,72,165,1391,3136,5259,,TOTAL,20211270,,
US RESIDENTS,2021,12,1,3,4,33,,3,13,72,165,1388,3134,5233,,US RESIDENTS,20211201,,
NEW HAMPSHIRE,2021,12,,0,,,,1,,,,9,12,20,NEW HAMPSHIRE,,20211206,-71.57139,43.680429
NEW YORK,2021,12,,0,,3,,2,3,3,11,49,111,187,NEW YORK,,20211211,-75.59655,42.921241
PACIFIC,2021,12,,1,2,1,,2,4,15,18,161,369,241,,PACIFIC,20211257,,
WEST SOUTH CENTRAL,2021,12,,1,,1,,1,,5,16,226,310,642,,WEST SOUTH CENTRAL,20211243,,
NEBRASKA,2021,12,,0,,,,0,,,,16,27,34,NEBRASKA,,20211225,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,12,,1,,1,,1,,2,1,93,168,272,,EAST SOUTH CENTRAL,20211238,,
NORTH DAKOTA,2021,12,,0,,,,0,,,,5,6,13,NORTH DAKOTA,,20211226,-100.46931,47.446305
NEVADA,2021,12,,0,,2,,0,,,,3,8,12,NEVADA,,20211253,-114.916992,39.283294
ILLINOIS,2021,12,,2,,5,,1,,3,,71,106,234,ILLINOIS,,20211215,-89.148632,40.124144
IOWA,2021,12,,2,,1,,0,,,4,34,49,88,IOWA,,20211221,-93.500061,42.074659
TEXAS,2021,12,,1,,1,,1,,3,,153,113,344,TEXAS,,20211247,-99.317341,31.447238
ALASKA,2021,12,,1,,,,0,,,,6,,,ALASKA,,20211258,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,12,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211230,-77.016275,38.904785
WASHINGTON,2021,12,,1,1,1,,1,,7,5,69,84,107,WASHINGTON,,20211262,-120.592492,47.411715
